img,meanLum,sdLum
Minnehaha Falls.jpg,137.509785714286,23.1394266892052
Molecule Statue.jpg,137.523542857143,23.1253717194438
Moos Tower.jpg,137.493387755102,23.2502424203437
Morrill Hall.jpg,137.540853061224,23.1033615454734
Music Education Building.jpg,137.509359183673,23.2039772751413
Music Mural.jpg,137.567128571429,23.1407252077944
News Room.jpg,137.524024489796,23.0886992935676
Nickolodeon Universe.jpg,137.475757142857,23.1327548505956
Nicollet Caribou.jpg,137.504816326531,23.1437925134374
Nicollet Globe_1.jpg,137.546728571429,23.1185069452893
Nicollet Island Inn.jpg,137.626287755102,23.1304179615583
Nicollet Skyway.jpg,137.535283673469,23.1311031871423
Nicollet Station.jpg,137.505332653061,23.158790549726
Northrop Auditorium.jpg,137.459808163265,23.1600219617625
Northwestern Casket Company.jpg,137.479159183673,23.0594378913376
Northwestern National Life Insurance Building.jpg,137.531895918367,23.2296151363962
Octavius Broughton House Statue.jpg,137.548069387755,23.2013434592386
Old Main Plaque.jpg,137.522569387755,23.112728024731
Orange Line Sign.jpg,137.501034693878,23.1492646101476
Orpheium.jpg,137.523836734694,23.1885516962415
Orpheum Theater.jpg,137.461989795918,23.1417111735652
Otter’s Saloon.jpg,137.465091836735,23.097141482994
Peavey Plaza.jpg,137.518569387755,23.1474867960597
Peavy Clock.jpg,137.560326530612,23.159964433186
Peter Less House Statue.jpg,137.48272244898,23.309363088868
Phi Gamma Delta House.jpg,137.514791836735,23.1264991919451
Pillsbury Amill Statue.jpg,137.510785714286,23.1320455785466
Pillsbury Hall_2.jpg,137.498791836735,23.1582578071579
Pillsbury Library.jpg,137.473448979592,23.3021121303884
Pillsbury Statue.jpg,137.519248979592,23.1232567988808
Pioneers Statue.jpg,137.48412244898,23.2495408105918
Platonic Figure.jpg,137.480114285714,23.2054590794705
Pleasant St SE.jpg,137.535491836735,23.2073256714194
Prince Mural.jpg,137.479853061225,23.3154102980446
Prince Statue.jpg,137.48673877551,23.133858119364
Psycho Suzie’s Patio.jpg,137.51912244898,23.1088345515724
Public Service Building.jpg,137.496073469388,23.2844598454987
Purcell Cutts House.jpg,137.51313877551,23.1271450814292
Rbc Gateway.jpg,137.54012244898,23.1272687885461
Regis Center For The Arts.jpg,137.536226530612,23.2937416024683
Reverie Cafe And Bar.jpg,137.489385714286,23.1113399498107
Ridder Arena.jpg,137.512553061224,23.2054281469202
Riverside Plaza.jpg,137.501806122449,23.1562000513805
Riverside Plaza_2.jpg,137.526687755102,23.1740838272652
SE Washington Ave.jpg,137.484059183673,23.1348163053483
SPS Tower.jpg,137.479644897959,23.2869534717694
Scholars Walk.jpg,137.536718367347,23.2895178034368
Sculpture Garden9.jpg,137.524681632653,23.1655057385573
Sculpture Garden_1.jpg,137.443932653061,23.1173806713838
Sculpture Garden_10.jpg,137.526640816327,23.1178285396651
Sculpture Garden_11.jpg,137.423816326531,23.1144168309662
Sculpture Garden_2.jpg,137.52856122449,23.0947686578259
Sculpture Garden_3.jpg,137.552557142857,23.1207305378502
Sculpture Garden_4.jpg,137.505144897959,23.1101880099785
Sculpture Garden_5.jpg,137.516275510204,23.13147375255
Sculpture Garden_6.jpg,137.512734693878,23.0906828341203
Sculpture Garden_7.jpg,137.41072244898,23.0983218961214
Sea Life Aquarium.jpg,137.487714285714,23.2462827416798
Shepard Manufacturing Company Statue.jpg,137.514844897959,23.1475567546693
Shoe Tree.jpg,137.46157755102,23.1270486845657
Skyway Map.jpg,137.486148979592,23.1242699605946
Skyway.jpg,137.526944897959,23.1641784608993
Soo Line Building.jpg,137.514695918367,23.1583147749066
St Anthony Falls.jpg,137.467204081633,23.125953128492
St Anthony.jpg,137.463297959184,23.0828102819224
St Thomas.jpg,137.490279591837,23.2893040923404
State Theater.jpg,137.458642857143,23.2539487056083
Stone Arch Bridge.jpg,137.513040816327,23.0878133181698
T. J. Jones Memorial Library.jpg,137.506816326531,23.2300887412306
Target Field.jpg,137.48806122449,23.2788059935652
Target.jpg,137.539785714286,23.1489938238387
The News Room.jpg,137.506259183673,23.0936095411468
Third Precinct.jpg,137.479348979592,23.1543600615929
Thomas Fandrews House Statue.jpg,137.472346938776,23.3130852851416
Twins Stadium.jpg,137.494326530612,23.2656829804422
UMN Armory.jpg,137.490232653061,23.2397223829302
UMN Sign.jpg,137.511669387755,23.1167997606141
US Bank Plaza.jpg,137.483763265306,23.3104968393867
US Bank Stadium Station.jpg,137.507559183673,23.146317730719
US Bank Stadium.jpg,137.517834693878,23.2143432149886
Uptown Crown.jpg,137.455312244898,23.1209140007274
Uptown Large Chairs.jpg,137.571197959184,23.1163578497644
