SourceName,ProcessedName
MPLS_PEAVEY PLAZA,Peavey Plaza
MPLS_PILLSBURY HALL,Pillsbury Hall
MPLS_PIONEERS STATUE,Pioneers Statue
MPLS_PLATONIC FIGURE,Platonic Figure
MPLS_PRINCE STATUE,Prince Statue
MPLS_PUBLIC SERVICE BUILDING,Public Service Building
MPLS_PURCELL CUTS HOUSE,Purcell Cuts House
MPLS_REGIS CENTER FOR THE ARTS,Regis Center For The Arts
MPLS_RIVERSIDE PLAZA,Riverside Plaza
MPLS_SOCIAL SCIENCES TOWER,Social Sciences Tower
MPLS_SPS TOWER,SPS Tower
MPLS_STATE THEATER,State Theater
MPLS_T. J. JONES MEMORIAL LIBRARY,T. J. Jones Memorial Library
MPLS_TARGET FIELD,Target Field
MPLS_US BANK PLAZA,US Bank Plaza
MPLS_US BANK STADIUM,US Bank Stadium
MPLS_VIKINGS LONGHOUSE,Vikings Longhouse
MPLS_WALKER ART CENTER,Walker Art Center
MPLS_WALTER LIBRARY,Walter Library
MPLS_WELLS FARGO 550 TOWER,Wells Fargo 550 Tower
MPLS_WILSON LIBRARY,Wilson Library
MPLS_WITCH HAT TOWER,Witch Hat Tower
Music_Education_Building,Music Education Building
M_M_s Store,M&Ms Store
Nickolodeon Universe,Nickolodeon Universe
Northwestern National Life Insurance Building,Northwestern National Life Insurance Building
Northwestern_Casket_Company,Northwestern Casket Company
Old_Main_plaque,Old Main Plaque
Otter’s Saloon,Otter’s Saloon
Pilsbury Hall,Pilsbury Hall
Pleasant_St_SE,Pleasant St SE
Psycho Suzie’s,Psycho Suzie’s
Purcell-Cutts House,Purcell Cutts House
Reverie_Cafe_and_Bar,Reverie Cafe And Bar
Ridder Arena,Ridder Arena
scholars-walk,Scholars Walk
SE Washington Ave,SE Washington Ave
Sea Life Aquarium,Sea Life Aquarium
Shoe Tree,Shoe Tree
Skyway_Map,Skyway Map
St Anthony Falls,St Anthony Falls
St Anthony,St Anthony
STP_UMN PROUD CHAIR,UMN Proud Chair
Sullivan_250_Marquette,250 Marquette
Sullivan_430 OakGrove,430 Oak Grove
Sullivan_5th_Street_Towers,5Th Street Towers
Sullivan_ATT_Tower,ATT Tower
Sullivan_Basillica,Basillica
Sullivan_Brit’sPub,Brit’s Pub
Sullivan_ChicagoLiquior,Chicago Liquior
Sullivan_Daytons,Daytons
Sullivan_FarmersMarketChicken,Farmers Market Chicken
Sullivan_FarmersMarketMural,Farmers Market Mural
Sullivan_Foshay_Enterance,Foshay Enterance
Sullivan_HennepinTheater,Hennepin Theater
Sullivan_LoringBridge,Loring Bridge
Sullivan_LoringGreenwayEnterance,Loring Greenway Enterance
Sullivan_LoringPark_1,Loring Park_1
Sullivan_LoringPark_2,Loring Park_2
Sullivan_LoringPark_3,Loring Park_3
Sullivan_Mackenzie,Mackenzie
Sullivan_Marquette_Cancer_Survivor_Statue,Marquette Cancer Survivor Statue
Sullivan_MaryTylerMoore,Mary Tyler Moore
Sullivan_MidtownMarket,Midtown Market
Sullivan_MPLS_WholeFoods,Whole Foods
Sullivan_MusicMural,Music Mural
Sullivan_NicolletCaribou,Nicollet Caribou
Sullivan_NicolletGlobe1,Nicollet Globe1
Sullivan_NicolletSkyway,Nicollet Skyway
Sullivan_NicolletStation,Nicollet Station
Sullivan_OrangeLineSign,Orange Line Sign
Sullivan_Orpheium,Orpheium
Sullivan_PeavyClock,Peavy Clock
Sullivan_RBC_Gateway,Rbc Gateway
Sullivan_SculptureGarden9,Sculpture Garden9
Sullivan_SculptureGardenCherrySpoon,Sculpture Garden Cherry Spoon
Sullivan_SculptureGarden_1,Sculpture Garden_1
Sullivan_SculptureGarden_10,Sculpture Garden_10
Sullivan_SculptureGarden_11,Sculpture Garden_11
Sullivan_SculptureGarden_12,Sculpture Garden_12
Sullivan_SculptureGarden_2,Sculpture Garden_2
Sullivan_SculptureGarden_3,Sculpture Garden_3
Sullivan_SculptureGarden_4,Sculpture Garden_4
Sullivan_SculptureGarden_5,Sculpture Garden_5
Sullivan_SculptureGarden_6,Sculpture Garden_6
Sullivan_SculptureGarden_7,Sculpture Garden_7
Sullivan_Skyway,Skyway
