Buchanan_ComoConservatory_cropped.jpg,Buchanan_Fairgrounds_cropped.jpg,Buchanan_JamesJHillHouse_cropped.jpg,Buchanan_NYLifeEagle_cropped.jpg,Buchanan_StThomasCathedral_cropped.jpg,Ichel_EcolabBuilding_cropped.jpg,Ichel_MinnesotaHistoryCenter_cropped.jpg,Ichel_Ordway_cropped.jpg,Ichel_ScienceMuseum_cropped.jpg,Ichel_StPaulCathedral_cropped.jpg,Ichel_StPaulLibrary_cropped.jpg,Ichel_XcelEnergyCenter_cropped.jpg,pooled
7893,7873,7654,8075,8243,8005,7885,7678,7976,7651,7493,7712,7844.83333333333
8571,8912,8926,8370,8707,8466,8480,8751,8226,8471,8794,8475,8595.75
9325,9654,9890,9044,9508,8792,9530,10101,9725,8895,9969,9776,9517.41666666667
10393,10667,11412,10088,9977,10017,10690,10929,10852,9699,10891,10018,10469.4166666667
11232,11396,11448,10490,11270,11317,11725,11799,11328,11460,11168,11040,11306.0833333333
11812,12567,12334,11279,11595,11743,12135,12655,11612,12115,12089,11728,11972
13400,13208,12244,12383,13080,13329,13731,12009,13160,13511,13761,12833,13054.0833333333
13780,14171,15420,13945,15376,13132,14337,14547,13420,14684,14061,14135,14250.6666666667
15178,15261,15187,15628,16897,15555,15394,15474,14496,16579,15779,15530,15579.8333333333
16173,16464,16548,16304,16752,15584,16424,15624,16368,16645,16079,16629,16299.5
17670,18109,17768,18448,17741,18479,17265,18230,16146,18772,17315,18236,17848.25
18643,19248,18929,19488,18372,20226,18116,19570,19106,19933,18013,19783,19118.9166666667
19159,19925,20552,20987,19817,20073,18671,20365,21464,20547,19477,20295,20111
20822,21416,21973,21875,20813,20814,19933,21696,23832,21772,20981,21118,21420.4166666667
21262,21563,22104,22268,22607,21189,20699,22349,23261,22182,21684,21831,21916.5833333333
22634,22814,22490,23336,22809,24131,21574,22668,24614,22906,23283,22441,22975
24418,23348,23186,23923,23278,24392,22041,23616,25424,23281,23315,23085,23608.9166666667
25198,23791,22806,25536,24060,24909,23990,24085,24025,24162,24471,24210,24270.25
27470,24485,23100,27035,24533,25470,24783,24062,23364,23236,25063,25240,24820.0833333333
27595,24518,24174,26899,24664,24890,26032,24838,25220,23223,25607,25999,25304.9166666667
28317,24957,22287,26437,25771,24540,26916,26000,25294,22671,26793,27259,25603.5
28324,26627,25562,27064,26784,27381,27872,26346,27177,23834,28151,28542,26972
28301,25918,25201,27612,27172,28257,29010,26763,28290,26353,27866,27514,27354.75
28754,26505,28310,28720,28171,28879,30580,27626,28397,29334,29651,28828,28646.25
29232,29550,30937,29725,29192,28776,30548,28875,28721,31901,30045,29570,29756
29138,29202,31880,29679,27980,29065,30774,28470,29102,33400,27668,28641,29583.25
28289,31057,33577,30909,30120,30591,32070,29807,31706,29574,31089,30092,30740.0833333333
26718,31208,31818,31884,30686,30868,32084,30372,31493,29032,30206,30786,30596.25
26723,32169,30919,31639,31087,31947,32225,29912,29594,30948,28649,32014,30652.1666666667
26037,33040,31132,30635,32259,30615,31733,30662,30080,30661,27106,32494,30537.8333333333
27531,33090,30946,30389,32124,31303,30859,30985,31561,33886,29791,31637,31175.1666666667
31354,32672,32021,29797,30667,31133,28523,30239,30866,30719,30117,28889,30583.0833333333
34408,31456,33396,29444,32248,31076,25902,30436,31721,26965,34775,30508,31027.9166666667
34417,31333,33438,28974,31938,30964,23888,30565,31631,36654,30665,31000,31288.9166666667
32961,29861,31953,28438,31343,30842,29786,30383,34019,34975,30709,30520,31315.8333333333
29824,28468,29917,27674,29465,30945,34666,29431,30178,26565,29792,33806,30060.9166666667
33065,27370,29739,27298,32939,31317,31643,28947,26023,32495,31213,31606,30304.5833333333
32432,28834,30656,29309,32995,31816,27137,30602,33466,32844,35877,29292,31271.6666666667
32392,31197,31003,28958,32302,31770,35215,30924,29805,25527,32664,32623,31198.3333333333
33525,32392,31837,30279,31841,31923,35153,32282,30990,37226,32253,33126,32735.5833333333
32098,32659,32148,34697,31668,31598,32917,35875,32647,32569,30274,32519,32639.0833333333
32711,33602,32875,37201,32388,32350,32624,34355,31994,26732,30789,31679,32441.6666666667
32374,32489,33714,36617,33569,32219,32076,35381,32709,37354,31121,33034,33554.75
32797,35360,34434,32443,32854,31888,31519,32738,33187,31737,35942,33196,33174.5833333333
27783,37375,36168,31625,33614,29873,28006,29399,33542,33910,30425,31614,31944.5
31173,32735,37336,33287,33952,29186,38739,34305,33567,41604,31773,32128,34148.75
30626,32914,38287,35423,34712,34974,35853,33571,34793,40624,32207,34611,34882.9166666667
35939,36054,39797,38115,35655,39267,40544,38543,39859,36469,37161,37592,37916.25
36036,41947,40053,38249,37625,36320,42093,36208,44593,38660,38438,38399,39051.75
