Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
Octavius Broughton House Statue.jpg	168.4233	62.0017	cielab_Octavius Broughton House Statue.jpg	137.5183	23.1644
Office Of Tourism Carson City, Nevada.jpg	113.3000	56.9757	cielab_Office Of Tourism Carson City, Nevada.jpg	137.5183	23.1644
Old Main Plaque.jpg	131.2850	69.1319	cielab_Old Main Plaque.jpg	137.5183	23.1644
Old State House.jpg	107.2193	53.8682	cielab_Old State House.jpg	137.5183	23.1644
Orange Line Sign.jpg	119.3950	72.7147	cielab_Orange Line Sign.jpg	137.5183	23.1644
Ordway.jpg	135.5976	62.6867	cielab_Ordway.jpg	137.5183	23.1644
Orpheium.jpg	128.2974	74.5141	cielab_Orpheium.jpg	137.5183	23.1644
Orpheum Theater.jpg	154.8424	55.7814	cielab_Orpheum Theater.jpg	137.5183	23.1644
Otter’s Saloon.jpg	135.8575	62.4155	cielab_Otter’s Saloon.jpg	137.5183	23.1644
Our Lady Of Victory Chapel.jpg	124.4531	53.9992	cielab_Our Lady Of Victory Chapel.jpg	137.5183	23.1644
O’Shaughnessy Stadium.jpg	105.0586	61.5216	cielab_O’Shaughnessy Stadium.jpg	137.5183	23.1644
Padelford Riverboat.jpg	143.0386	55.7395	cielab_Padelford Riverboat.jpg	137.5183	23.1644
Patrick Mcgoverns Pub.jpg	131.5691	75.0548	cielab_Patrick Mcgoverns Pub.jpg	137.5183	23.1644
Pat’s Steaks.jpg	125.2866	59.9021	cielab_Pat’s Steaks.jpg	137.5183	23.1644
Peanuts Character Statue.jpg	133.1270	67.0238	cielab_Peanuts Character Statue.jpg	137.5183	23.1644
Peavey Plaza.jpg	118.4862	59.7920	cielab_Peavey Plaza.jpg	137.5183	23.1644
Peavy Clock.jpg	122.4096	70.6126	cielab_Peavy Clock.jpg	137.5183	23.1644
Peter Less House Statue.jpg	121.6992	54.3199	cielab_Peter Less House Statue.jpg	137.5183	23.1644
Pez Vela Statue.jpg	133.5543	71.2749	cielab_Pez Vela Statue.jpg	137.5183	23.1644
Phalen Regional Park.jpg	124.1917	64.9215	cielab_Phalen Regional Park.jpg	137.5183	23.1644
Phi Gamma Delta House.jpg	101.0657	62.9234	cielab_Phi Gamma Delta House.jpg	137.5183	23.1644
Philadelphia City Hall.jpg	139.3551	47.1092	cielab_Philadelphia City Hall.jpg	137.5183	23.1644
Pillsbury Amill Statue.jpg	116.9920	72.1276	cielab_Pillsbury Amill Statue.jpg	137.5183	23.1644
Pillsbury Hall_2.jpg	132.9840	53.6444	cielab_Pillsbury Hall_2.jpg	137.5183	23.1644
Pillsbury Library.jpg	118.9347	55.9081	cielab_Pillsbury Library.jpg	137.5183	23.1644
Pillsbury Statue.jpg	87.7619	75.3746	cielab_Pillsbury Statue.jpg	137.5183	23.1644
Pioneer Building.jpg	120.9447	64.6191	cielab_Pioneer Building.jpg	137.5183	23.1644
Pioneer Courage Statue.jpg	111.1058	63.9103	cielab_Pioneer Courage Statue.jpg	137.5183	23.1644
Pioneers Statue.jpg	137.0101	60.8821	cielab_Pioneers Statue.jpg	137.5183	23.1644
Platonic Figure.jpg	110.9033	63.4211	cielab_Platonic Figure.jpg	137.5183	23.1644
Pleasant St SE.jpg	132.9668	44.3128	cielab_Pleasant St SE.jpg	137.5183	23.1644
Prince Mural.jpg	147.6528	60.6877	cielab_Prince Mural.jpg	137.5183	23.1644
Prince Statue.jpg	117.1807	56.8812	cielab_Prince Statue.jpg	137.5183	23.1644
Pro Medica Headquarters Toledo, Ohio.jpg	142.4250	48.9771	cielab_Pro Medica Headquarters Toledo, Ohio.jpg	137.5183	23.1644
Psycho Suzie’s Patio.jpg	143.7083	70.3732	cielab_Psycho Suzie’s Patio.jpg	137.5183	23.1644
Public Service Building.jpg	139.2395	69.5973	cielab_Public Service Building.jpg	137.5183	23.1644
Purcell Cutts House.jpg	131.8253	66.3995	cielab_Purcell Cutts House.jpg	137.5183	23.1644
Quadriga Statue.jpg	140.8829	55.8712	cielab_Quadriga Statue.jpg	137.5183	23.1644
Ramsay County Courthouse.jpg	100.1842	52.7673	cielab_Ramsay County Courthouse.jpg	137.5183	23.1644
Raspberry Island.jpg	140.0005	54.8971	cielab_Raspberry Island.jpg	137.5183	23.1644
Rbc Gateway.jpg	153.6289	51.0154	cielab_Rbc Gateway.jpg	137.5183	23.1644
Regions Hospital.jpg	115.5572	59.9683	cielab_Regions Hospital.jpg	137.5183	23.1644
Regis Center For The Arts.jpg	114.3831	53.9874	cielab_Regis Center For The Arts.jpg	137.5183	23.1644
Reverence Statue South Burlington, Vermont.jpg	141.7095	71.3492	cielab_Reverence Statue South Burlington, Vermont.jpg	137.5183	23.1644
Reverie Cafe And Bar.jpg	89.7539	64.9178	cielab_Reverie Cafe And Bar.jpg	137.5183	23.1644
Rice Park Fountain.jpg	144.2745	54.2396	cielab_Rice Park Fountain.jpg	137.5183	23.1644
Rice Park.jpg	136.1420	48.7994	cielab_Rice Park.jpg	137.5183	23.1644
Ridder Arena.jpg	104.2563	59.0930	cielab_Ridder Arena.jpg	137.5183	23.1644
River Centre Parking Ramp.jpg	145.5617	54.1586	cielab_River Centre Parking Ramp.jpg	137.5183	23.1644
Riverside Plaza.jpg	147.7244	72.9457	cielab_Riverside Plaza.jpg	137.5183	23.1644
Riverside Plaza_2.jpg	167.9481	59.6280	cielab_Riverside Plaza_2.jpg	137.5183	23.1644
Ryman Auditorium.jpg	127.3072	67.7114	cielab_Ryman Auditorium.jpg	137.5183	23.1644
SE Washington Ave.jpg	125.6811	61.8946	cielab_SE Washington Ave.jpg	137.5183	23.1644
SPS Tower.jpg	125.5468	61.6397	cielab_SPS Tower.jpg	137.5183	23.1644
Saint Paul Seminary.jpg	99.2626	74.5942	cielab_Saint Paul Seminary.jpg	137.5183	23.1644
Sarah Porter Memorial Farmington.jpg	131.4244	68.1063	cielab_Sarah Porter Memorial Farmington.jpg	137.5183	23.1644
Scholars Walk.jpg	124.3074	51.0140	cielab_Scholars Walk.jpg	137.5183	23.1644
Schroeder And Lucy.jpg	142.9485	68.0733	cielab_Schroeder And Lucy.jpg	137.5183	23.1644
Science Museum Of MN.jpg	98.8803	56.6351	cielab_Science Museum Of MN.jpg	137.5183	23.1644
Science Museum Of Minnesota.jpg	119.3148	56.9305	cielab_Science Museum Of Minnesota.jpg	137.5183	23.1644
Sculpture Garden9.jpg	145.9604	66.3882	cielab_Sculpture Garden9.jpg	137.5183	23.1644
Sculpture Garden_1.jpg	126.9679	56.7675	cielab_Sculpture Garden_1.jpg	137.5183	23.1644
Sculpture Garden_10.jpg	142.2290	61.4078	cielab_Sculpture Garden_10.jpg	137.5183	23.1644
Sculpture Garden_11.jpg	125.0650	84.6612	cielab_Sculpture Garden_11.jpg	137.5183	23.1644
Sculpture Garden_2.jpg	106.9463	57.9435	cielab_Sculpture Garden_2.jpg	137.5183	23.1644
Sculpture Garden_3.jpg	115.2173	59.0463	cielab_Sculpture Garden_3.jpg	137.5183	23.1644
Sculpture Garden_4.jpg	127.7728	55.6119	cielab_Sculpture Garden_4.jpg	137.5183	23.1644
Sculpture Garden_5.jpg	119.3675	58.2564	cielab_Sculpture Garden_5.jpg	137.5183	23.1644
Sculpture Garden_6.jpg	109.6410	63.8000	cielab_Sculpture Garden_6.jpg	137.5183	23.1644
Sculpture Garden_7.jpg	119.1737	51.8340	cielab_Sculpture Garden_7.jpg	137.5183	23.1644
Sea Foam Stadium.jpg	142.7748	71.4512	cielab_Sea Foam Stadium.jpg	137.5183	23.1644
Sea Life Aquarium.jpg	127.4898	69.0458	cielab_Sea Life Aquarium.jpg	137.5183	23.1644
Shepard Manufacturing Company Statue.jpg	143.9246	64.0794	cielab_Shepard Manufacturing Company Statue.jpg	137.5183	23.1644
Shoe Tree.jpg	101.7495	59.4189	cielab_Shoe Tree.jpg	137.5183	23.1644
Skyway Map.jpg	72.9824	85.1135	cielab_Skyway Map.jpg	137.5183	23.1644
Skyway.jpg	137.9523	62.6350	cielab_Skyway.jpg	137.5183	23.1644
Snoopy Statue.jpg	115.7457	48.9585	cielab_Snoopy Statue.jpg	137.5183	23.1644
Soldiers And Sailors Statue.jpg	137.1362	47.5449	cielab_Soldiers And Sailors Statue.jpg	137.5183	23.1644
Soo Line Building.jpg	120.2602	70.6348	cielab_Soo Line Building.jpg	137.5183	23.1644
St Anthony Falls.jpg	177.2848	47.5563	cielab_St Anthony Falls.jpg	137.5183	23.1644
St Anthony.jpg	145.4862	82.9595	cielab_St Anthony.jpg	137.5183	23.1644
St Catherine’s University.jpg	125.3340	59.4812	cielab_St Catherine’s University.jpg	137.5183	23.1644
St Francis Como Conservatory.jpg	104.8408	76.1638	cielab_St Francis Como Conservatory.jpg	137.5183	23.1644
St John The Evangelist Episcopal Church.jpg	120.0100	58.5356	cielab_St John The Evangelist Episcopal Church.jpg	137.5183	23.1644
St Louis Church.jpg	125.0773	69.1889	cielab_St Louis Church.jpg	137.5183	23.1644
St Paul Academy And Summit School.jpg	121.8542	70.8500	cielab_St Paul Academy And Summit School.jpg	137.5183	23.1644
St Paul Brewing.jpg	140.8720	63.6476	cielab_St Paul Brewing.jpg	137.5183	23.1644
St Paul Cathedral.jpg	152.3726	52.2735	cielab_St Paul Cathedral.jpg	137.5183	23.1644
St Paul Chamber Orchestra.jpg	137.4235	73.7139	cielab_St Paul Chamber Orchestra.jpg	137.5183	23.1644
St Paul College.jpg	118.2456	51.1185	cielab_St Paul College.jpg	137.5183	23.1644
St Paul Farmers Market.jpg	135.1284	80.9199	cielab_St Paul Farmers Market.jpg	137.5183	23.1644
St Paul Hotel.jpg	115.3738	55.5783	cielab_St Paul Hotel.jpg	137.5183	23.1644
St Paul Library.jpg	144.2205	53.9615	cielab_St Paul Library.jpg	137.5183	23.1644
St Paul’s United Church Of Christ.jpg	128.8737	49.9808	cielab_St Paul’s United Church Of Christ.jpg	137.5183	23.1644
St Thomas Cathedral.jpg	130.3456	70.2628	cielab_St Thomas Cathedral.jpg	137.5183	23.1644
St Thomas Statue.jpg	139.1760	74.1516	cielab_St Thomas Statue.jpg	137.5183	23.1644
St Thomas.jpg	128.0961	55.6569	cielab_St Thomas.jpg	137.5183	23.1644
Stassen Building.jpg	143.5787	61.9257	cielab_Stassen Building.jpg	137.5183	23.1644
State Fair Grounds.jpg	194.9396	66.2341	cielab_State Fair Grounds.jpg	137.5183	23.1644
State Theater.jpg	117.0206	74.6502	cielab_State Theater.jpg	137.5183	23.1644
State Theatre Ann Arbor Marquee.jpg	51.5131	71.8554	cielab_State Theatre Ann Arbor Marquee.jpg	137.5183	23.1644
Stone Arch Bridge.jpg	164.1181	64.7320	cielab_Stone Arch Bridge.jpg	137.5183	23.1644
Strategic Air Command And Aerospace Museum.jpg	156.6735	38.5045	cielab_Strategic Air Command And Aerospace Museum.jpg	137.5183	23.1644
Street Mural Rutlant,Vermont.jpg	111.7890	49.2487	cielab_Street Mural Rutlant,Vermont.jpg	137.5183	23.1644
Summit Avenue.jpg	138.5095	68.8718	cielab_Summit Avenue.jpg	137.5183	23.1644
Summit Hill Community Garden.jpg	163.4213	64.3742	cielab_Summit Hill Community Garden.jpg	137.5183	23.1644
Summit Manor Reception House.jpg	125.1842	82.9208	cielab_Summit Manor Reception House.jpg	137.5183	23.1644
Suzzallo Library.jpg	131.1789	41.5677	cielab_Suzzallo Library.jpg	137.5183	23.1644
Sweet Marthas Cookies.jpg	175.9662	57.4881	cielab_Sweet Marthas Cookies.jpg	137.5183	23.1644
T. J. Jones Memorial Library.jpg	145.7137	75.6369	cielab_T. J. Jones Memorial Library.jpg	137.5183	23.1644
Target Field.jpg	130.2377	40.8739	cielab_Target Field.jpg	137.5183	23.1644
Target.jpg	135.1743	57.9390	cielab_Target.jpg	137.5183	23.1644
Texas Capitol.jpg	119.5618	61.2997	cielab_Texas Capitol.jpg	137.5183	23.1644
The Bulldog Restaurant.jpg	108.0656	57.1530	cielab_The Bulldog Restaurant.jpg	137.5183	23.1644
The Lexington.jpg	121.9110	73.6747	cielab_The Lexington.jpg	137.5183	23.1644
The News Room.jpg	129.8080	64.0289	cielab_The News Room.jpg	137.5183	23.1644
The Quad.jpg	177.6594	58.3596	cielab_The Quad.jpg	137.5183	23.1644
The Rose Theatre.jpg	132.3895	58.6767	cielab_The Rose Theatre.jpg	137.5183	23.1644
The Source Statue.jpg	102.2564	59.4187	cielab_The Source Statue.jpg	137.5183	23.1644
The University Club Of St Paul.jpg	103.3978	52.4199	cielab_The University Club Of St Paul.jpg	137.5183	23.1644
Third Precinct.jpg	131.2029	63.7760	cielab_Third Precinct.jpg	137.5183	23.1644
Thirty Six Cafe.jpg	193.3767	39.0079	cielab_Thirty Six Cafe.jpg	137.5183	23.1644
Thomas Fandrews House Statue.jpg	124.9627	50.3656	cielab_Thomas Fandrews House Statue.jpg	137.5183	23.1644
Toledo Bridge.jpg	85.6666	44.8881	cielab_Toledo Bridge.jpg	137.5183	23.1644
Travelers Tower Hartford,Ct.jpg	124.8370	52.8858	cielab_Travelers Tower Hartford,Ct.jpg	137.5183	23.1644
Treasure Island Center.jpg	118.1254	65.6815	cielab_Treasure Island Center.jpg	137.5183	23.1644
Twins Stadium.jpg	136.2328	59.2400	cielab_Twins Stadium.jpg	137.5183	23.1644
UMN Armory.jpg	125.4143	48.6173	cielab_UMN Armory.jpg	137.5183	23.1644
UMN Sign.jpg	102.7082	59.6714	cielab_UMN Sign.jpg	137.5183	23.1644
US Bank Plaza.jpg	118.8587	56.6400	cielab_US Bank Plaza.jpg	137.5183	23.1644
US Bank Stadium Station.jpg	116.5318	60.6735	cielab_US Bank Stadium Station.jpg	137.5183	23.1644
US Bank Stadium.jpg	98.4041	45.3666	cielab_US Bank Stadium.jpg	137.5183	23.1644
Union Depot.jpg	170.5154	63.4315	cielab_Union Depot.jpg	137.5183	23.1644
University Of Washington.jpg	111.6767	62.3364	cielab_University Of Washington.jpg	137.5183	23.1644
Uno Clock Tower Nebraska.jpg	76.1116	40.7420	cielab_Uno Clock Tower Nebraska.jpg	137.5183	23.1644
Uptown Crown.jpg	135.3312	69.7350	cielab_Uptown Crown.jpg	137.5183	23.1644
Uptown Large Chairs.jpg	134.9951	66.7033	cielab_Uptown Large Chairs.jpg	137.5183	23.1644
Van Cleve House.jpg	167.7041	60.3375	cielab_Van Cleve House.jpg	137.5183	23.1644
Vietnam Veterans Memorial.jpg	129.4169	81.1157	cielab_Vietnam Veterans Memorial.jpg	137.5183	23.1644
Vikings Longhouse.jpg	155.8792	79.2145	cielab_Vikings Longhouse.jpg	137.5183	23.1644
Vulcan At The Forge Statue Birmingham.jpg	195.3221	67.3082	cielab_Vulcan At The Forge Statue Birmingham.jpg	137.5183	23.1644
Wabasha Street Bridge.jpg	129.7259	38.6485	cielab_Wabasha Street Bridge.jpg	137.5183	23.1644
Wabasha Street Caves.jpg	138.4088	52.3475	cielab_Wabasha Street Caves.jpg	137.5183	23.1644
Wabasha Street Snoopy.jpg	135.9592	55.7315	cielab_Wabasha Street Snoopy.jpg	137.5183	23.1644
Walker Art Center.jpg	165.0306	59.8943	cielab_Walker Art Center.jpg	137.5183	23.1644
Walter Library.jpg	123.4341	72.1167	cielab_Walter Library.jpg	137.5183	23.1644
Walter Library_2.jpg	144.7501	39.2394	cielab_Walter Library_2.jpg	137.5183	23.1644
Washington Ave Bridge.jpg	109.7646	59.4750	cielab_Washington Ave Bridge.jpg	137.5183	23.1644
Washington Ave SE.jpg	124.2480	62.6723	cielab_Washington Ave SE.jpg	137.5183	23.1644
Washington Avenue Bridge.jpg	120.5073	62.8843	cielab_Washington Avenue Bridge.jpg	137.5183	23.1644
Wcco.jpg	118.2843	69.3899	cielab_Wcco.jpg	137.5183	23.1644
Weisman Art Museum.jpg	162.3848	57.5953	cielab_Weisman Art Museum.jpg	137.5183	23.1644
Wells Fargo 550 Tower.jpg	100.7568	58.8708	cielab_Wells Fargo 550 Tower.jpg	137.5183	23.1644
Wells Fargo Building.jpg	125.0636	49.7869	cielab_Wells Fargo Building.jpg	137.5183	23.1644
Wells Fargo Center.jpg	124.2480	62.6723	cielab_Wells Fargo Center.jpg	137.5183	23.1644
Wells Fargo Center_2.jpg	142.6632	60.9803	cielab_Wells Fargo Center_2.jpg	137.5183	23.1644
Wells Fargo.jpg	138.2647	68.3204	cielab_Wells Fargo.jpg	137.5183	23.1644
West Bank Sign.jpg	120.4174	59.9879	cielab_West Bank Sign.jpg	137.5183	23.1644
Western Sculpture Park_1.jpg	128.3929	48.5540	cielab_Western Sculpture Park_1.jpg	137.5183	23.1644
Western Sculpture Park_3.jpg	132.1641	64.6615	cielab_Western Sculpture Park_3.jpg	137.5183	23.1644
Western Sculpture Park_4.jpg	143.7397	51.9996	cielab_Western Sculpture Park_4.jpg	137.5183	23.1644
Western Sculpture Park_5.jpg	126.5593	70.0221	cielab_Western Sculpture Park_5.jpg	137.5183	23.1644
Whole Foods On Nicollet.jpg	149.6592	70.1858	cielab_Whole Foods On Nicollet.jpg	137.5183	23.1644
Willard Park Cleveland.jpg	126.0175	70.4594	cielab_Willard Park Cleveland.jpg	137.5183	23.1644
Wilson Library.jpg	126.5149	52.1946	cielab_Wilson Library.jpg	137.5183	23.1644
Winslow House Hotel Statue.jpg	133.5907	67.6822	cielab_Winslow House Hotel Statue.jpg	137.5183	23.1644
Winthrop School East High School Statue.jpg	150.1961	68.1507	cielab_Winthrop School East High School Statue.jpg	137.5183	23.1644
Woodbury Fisk House Statue.jpg	118.0982	51.0837	cielab_Woodbury Fisk House Statue.jpg	137.5183	23.1644
World War I Memorial.jpg	110.4540	81.7113	cielab_World War I Memorial.jpg	137.5183	23.1644
Xcel Energy Center.jpg	133.1136	48.3549	cielab_Xcel Energy Center.jpg	137.5183	23.1644
Yacht Club.jpg	113.9836	49.8505	cielab_Yacht Club.jpg	137.5183	23.1644
Pooled	130.7982	62.1379	Pooled	137.5183	23.1644
