Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
Cincinnati Eden Park.jpg	110.3576	78.6286	cielab_Cincinnati Eden Park.jpg	137.5183	23.1644
Cincinnati Music Hall.jpg	122.9316	61.5796	cielab_Cincinnati Music Hall.jpg	137.5183	23.1644
Cincinnati Observatory.jpg	190.6855	65.4031	cielab_Cincinnati Observatory.jpg	137.5183	23.1644
Cinnabon Store Mall Of America.jpg	118.0787	64.9415	cielab_Cinnabon Store Mall Of America.jpg	137.5183	23.1644
Cities Church.jpg	153.7708	66.6266	cielab_Cities Church.jpg	137.5183	23.1644
City Hall Oakland.jpg	147.5300	49.5878	cielab_City Hall Oakland.jpg	137.5183	23.1644
City Hall Statue.jpg	133.0850	53.3866	cielab_City Hall Statue.jpg	137.5183	23.1644
City Hall.jpg	127.0770	59.8248	cielab_City Hall.jpg	137.5183	23.1644
Cleveland Metropark.jpg	97.2797	55.5959	cielab_Cleveland Metropark.jpg	137.5183	23.1644
Cochran Park Fountain.jpg	112.4348	76.6248	cielab_Cochran Park Fountain.jpg	137.5183	23.1644
Coffman Memorial Union.jpg	118.2395	61.9299	cielab_Coffman Memorial Union.jpg	137.5183	23.1644
Colorado St Bridge.jpg	161.0371	53.1446	cielab_Colorado St Bridge.jpg	137.5183	23.1644
Como Conservatory.jpg	157.6364	51.3823	cielab_Como Conservatory.jpg	137.5183	23.1644
Como Zoo Conservatory.jpg	104.9489	75.1415	cielab_Como Zoo Conservatory.jpg	137.5183	23.1644
Coney Island Tavern.jpg	90.2179	66.0819	cielab_Coney Island Tavern.jpg	137.5183	23.1644
Cossetta.jpg	118.8163	66.0940	cielab_Cossetta.jpg	137.5183	23.1644
Craft Council Building.jpg	153.2067	54.0091	cielab_Craft Council Building.jpg	137.5183	23.1644
Davidson Hotel.jpg	147.1601	67.7110	cielab_Davidson Hotel.jpg	137.5183	23.1644
Daytons.jpg	121.0175	63.3738	cielab_Daytons.jpg	137.5183	23.1644
Depew Memorial Fountain.jpg	126.0418	66.3261	cielab_Depew Memorial Fountain.jpg	137.5183	23.1644
Derham Hall.jpg	128.3417	45.9499	cielab_Derham Hall.jpg	137.5183	23.1644
Desert Dome.jpg	136.7736	55.3654	cielab_Desert Dome.jpg	137.5183	23.1644
Dew Drop Pond.jpg	144.4691	74.7838	cielab_Dew Drop Pond.jpg	137.5183	23.1644
Dewitt Library.jpg	116.3902	63.6550	cielab_Dewitt Library.jpg	137.5183	23.1644
Disappearing People Statues.jpg	142.0684	59.9685	cielab_Disappearing People Statues.jpg	137.5183	23.1644
Double Tree By Hilton Hotel.jpg	104.7181	60.7462	cielab_Double Tree By Hilton Hotel.jpg	137.5183	23.1644
Earle Brown House Statue.jpg	155.6813	61.2553	cielab_Earle Brown House Statue.jpg	137.5183	23.1644
East Hennepin Avenue Buildings Statue.jpg	138.9063	54.9817	cielab_East Hennepin Avenue Buildings Statue.jpg	137.5183	23.1644
Eastcliff Mansion.jpg	150.4718	69.5055	cielab_Eastcliff Mansion.jpg	137.5183	23.1644
Ecolab Building.jpg	151.6613	41.4024	cielab_Ecolab Building.jpg	137.5183	23.1644
Eddy Hall Sculptures.jpg	100.8117	52.7926	cielab_Eddy Hall Sculptures.jpg	137.5183	23.1644
Eddy Hall.jpg	114.4174	63.9266	cielab_Eddy Hall.jpg	137.5183	23.1644
El Rio Vista Recreation Center.jpg	122.6922	68.1134	cielab_El Rio Vista Recreation Center.jpg	137.5183	23.1644
Eleven On The River.jpg	185.4774	54.1280	cielab_Eleven On The River.jpg	137.5183	23.1644
Eli S East Hennepin.jpg	127.6246	80.8635	cielab_Eli S East Hennepin.jpg	137.5183	23.1644
Elliot Park.jpg	104.6616	69.1401	cielab_Elliot Park.jpg	137.5183	23.1644
Emiliano Zapata Statue.jpg	90.3987	67.9543	cielab_Emiliano Zapata Statue.jpg	137.5183	23.1644
F Scott Fitzgerald Statue.jpg	107.5521	46.6384	cielab_F Scott Fitzgerald Statue.jpg	137.5183	23.1644
F. Scott Fitzgerald House.jpg	103.5575	53.7634	cielab_F. Scott Fitzgerald House.jpg	137.5183	23.1644
Falcon Heights.jpg	141.0235	57.6425	cielab_Falcon Heights.jpg	137.5183	23.1644
Farmers Market Chicken.jpg	130.6593	67.6984	cielab_Farmers Market Chicken.jpg	137.5183	23.1644
Farmers Market Mural.jpg	141.3079	54.7337	cielab_Farmers Market Mural.jpg	137.5183	23.1644
Farmington Mall.jpg	161.6426	53.9784	cielab_Farmington Mall.jpg	137.5183	23.1644
Father Hennepin Statue.jpg	178.5156	59.3546	cielab_Father Hennepin Statue.jpg	137.5183	23.1644
First Avenue.jpg	115.8750	92.7364	cielab_First Avenue.jpg	137.5183	23.1644
First Baptist Church.jpg	105.9138	43.4573	cielab_First Baptist Church.jpg	137.5183	23.1644
First Congregational Church Statue.jpg	127.6512	61.0828	cielab_First Congregational Church Statue.jpg	137.5183	23.1644
First National Bank Building.jpg	141.1816	38.0506	cielab_First National Bank Building.jpg	137.5183	23.1644
First National Building Ann Arbor.jpg	125.3401	65.3265	cielab_First National Building Ann Arbor.jpg	137.5183	23.1644
Fitzgerald Theater.jpg	145.2082	62.0232	cielab_Fitzgerald Theater.jpg	137.5183	23.1644
Fleming Administration Building.jpg	125.3040	65.1018	cielab_Fleming Administration Building.jpg	137.5183	23.1644
Florence Court Statue.jpg	130.9950	55.5806	cielab_Florence Court Statue.jpg	137.5183	23.1644
Floyd Olson Statue.jpg	122.9042	55.8272	cielab_Floyd Olson Statue.jpg	137.5183	23.1644
Folwell Hall.jpg	132.7980	63.9918	cielab_Folwell Hall.jpg	137.5183	23.1644
Folwell.jpg	144.9794	52.4348	cielab_Folwell.jpg	137.5183	23.1644
Ford Dam Scenic Overlook.jpg	105.9173	72.7906	cielab_Ford Dam Scenic Overlook.jpg	137.5183	23.1644
Ford Little League Field.jpg	156.7536	63.3892	cielab_Ford Little League Field.jpg	137.5183	23.1644
Fort Snelling.jpg	175.8898	43.1235	cielab_Fort Snelling.jpg	137.5183	23.1644
Foshay Enterance.jpg	135.5155	48.2516	cielab_Foshay Enterance.jpg	137.5183	23.1644
Fox Theatre.jpg	156.7870	66.4837	cielab_Fox Theatre.jpg	137.5183	23.1644
Fred L Smith House Statue.jpg	132.9145	57.0882	cielab_Fred L Smith House Statue.jpg	137.5183	23.1644
General Mills.jpg	107.5702	81.6085	cielab_General Mills.jpg	137.5183	23.1644
George Latimer Central Library.jpg	147.9833	59.6285	cielab_George Latimer Central Library.jpg	137.5183	23.1644
Germanic American Institute.jpg	150.9052	69.8914	cielab_Germanic American Institute.jpg	137.5183	23.1644
Gibbs Farm.jpg	136.4859	57.5206	cielab_Gibbs Farm.jpg	137.5183	23.1644
Gold Medal Flour Building.jpg	162.3553	62.2885	cielab_Gold Medal Flour Building.jpg	137.5183	23.1644
Gold Medal Park Sign.jpg	164.6522	56.6841	cielab_Gold Medal Park Sign.jpg	137.5183	23.1644
Goldy Gopher.jpg	111.0502	48.6723	cielab_Goldy Gopher.jpg	137.5183	23.1644
Governors Residence.jpg	111.8453	68.7179	cielab_Governors Residence.jpg	137.5183	23.1644
Graduate Hotel.jpg	121.0609	49.6962	cielab_Graduate Hotel.jpg	137.5183	23.1644
Grand Avenue Tattoo.jpg	109.0950	75.0142	cielab_Grand Avenue Tattoo.jpg	137.5183	23.1644
Grand River Railroad Lansing.jpg	123.7064	62.8673	cielab_Grand River Railroad Lansing.jpg	137.5183	23.1644
Grand Stand.jpg	121.3353	72.6546	cielab_Grand Stand.jpg	137.5183	23.1644
Grandview Theatre.jpg	110.7794	66.3011	cielab_Grandview Theatre.jpg	137.5183	23.1644
Griggs Mansion.jpg	118.5407	67.6029	cielab_Griggs Mansion.jpg	137.5183	23.1644
Groveland Recreation Center.jpg	96.0891	50.4281	cielab_Groveland Recreation Center.jpg	137.5183	23.1644
Guthrie Theater.jpg	124.3561	74.5924	cielab_Guthrie Theater.jpg	137.5183	23.1644
Guthrie Theatre.jpg	143.0222	78.6101	cielab_Guthrie Theatre.jpg	137.5183	23.1644
Hamline University.jpg	128.3450	64.7881	cielab_Hamline University.jpg	137.5183	23.1644
